
2025-06-18 05:08:56 - Current Artist MP3 not found: 'R simcha bunim cohen', Source FILENAME: 'G:\Shiurim\From D\Unknown Rabbanim\Unknown Album (3-13-2018 10-26-24 PM)\01 R simcha bunim cohen thank you M.mp3'
2025-06-18 17:05:12 - Current Artist MP3 not found: 'R' Baruch Chait & Acheinu', Source FILENAME: 'G:\Music\all 10 Teves music\Omdos Hayu M1.mp3'
2025-06-20 06:10:09 - Current Artist MP3 not found: 'Rav Naftali Beer', Source FILENAME: 'G:\Shiurim\Dopplet 3 weeks\Kol Halashon\Beer,  Harav Naftali\Yona, יונה, 5 M.mp3'
2025-06-20 09:09:15 - Current Artist MP3 not found: 'R' Elimelech Biderman פרשת שלח 5785 Parshas Shlach M', Source FILENAME: 'G:\Shiurim\R Elimelech Biderman\R' Elimelech Biderman פרשת שלח 5785 Parshas Shlach M.mp3'
2025-06-20 09:09:16 - Current Artist MP3 not found: 'R' Elimelech Biderman פרשת שלח 5785 Parshas Shlach M', Source FILENAME: 'G:\Shiurim\R Elimelech Biderman\R' Elimelech Biderman פרשת שלח 5785 Parshas Shlach M.mp3'
2025-06-20 11:23:30 - Current Artist MP3 not found: 'Rav Yissocher Frand', Source FILENAME: 'G:\Shiurim\R Yissocher Frand\Mishnayos\Berachos\ברכות פרק ז, Masechet Berachos, Sefer משניות, Chapter 7 - Harav Yissochor Frand - 20 Sivan, 5778159550.mp3'
2025-06-20 11:23:31 - Current Artist MP3 not found: 'Rav Yissocher Frand', Source FILENAME: 'G:\Shiurim\R Yissocher Frand\Mishnayos\Berachos\ברכות פרק ז, Masechet Berachos, Sefer משניות, Chapter 7 - Harav Yissochor Frand - 20 Sivan, 5778159550.mp3'
2025-06-20 11:59:40 - Current Artist MP3 not found: 'Rav Yosef C. Jacobovitz', Source FILENAME: 'G:\Shiurim\BMG\R' Yosef Chananya Jacobovits\R' Yosef C. Jacobovits Hilchos Shabbos Winter 5783\R' Yosef C. Jacobovits Hilchos Shabbos Winter 5783 #2 M.mp3'
2025-06-20 11:59:40 - Current Artist MP3 not found: 'Rav Yosef C. Jacobovitz', Source FILENAME: 'G:\Shiurim\BMG\R' Yosef Chananya Jacobovits\R' Yosef C. Jacobovits Hilchos Shabbos Winter 5783\R' Yosef C. Jacobovits Hilchos Shabbos Winter 5783 #2 M.mp3'
2025-06-20 14:41:07 - Current Artist MP3 not found: 'R Yisroel Belsky', Source FILENAME: 'G:\Music\FROM NOSSON\Rav Yisroel Belsky\Shimru Shabsosai Composed by Rav Yisroel Belsky Z”TL M.mp3'
